The cat is not a fruit!	e4990ad599f68f6b10a4.m4a
The frog is not a fruit!	669b0f563eb8900b4107.m4a
The bunny is not a fruit!	1cbab022a29bb5b76f3b.m4a
The bear is not a fruit!	b63fbd16c9a793d860f7.m4a
The cow is not a fruit!	d965d98da30629b9c071.m4a
The pig is not a fruit!	7962f47b7591f495865d.m4a
The lion is not a fruit!	78f2f895d5c3dbff4f74.m4a
The car is not a fruit!	b442b76ea245d42ac561.m4a
The bus is not a fruit!	bcd0e296940d39de5381.m4a
The train is not a fruit!	c0498241acda8bad1f44.m4a
The plane is not a fruit!	76defdcdaab575535c4d.m4a
The helicopter is not a fruit!	f7949cac034d5979d698.m4a
The tractor is not a fruit!	7c004ed18ce6adfd4aa4.m4a
The scooter is not a fruit!	016ec5cbf99e25196f5b.m4a
The blossom is not a fruit!	4a7bb9189e1cc4641571.m4a
The sunflower is not a fruit!	c7958a5bf9ec467593dd.m4a
The hibiscus is not a fruit!	937625ff632d1783c843.m4a
The tulip is not a fruit!	2aa13d258faddb37f342.m4a
The rose is not a fruit!	96c0b3703ede8855c5ce.m4a
The sun is not a fruit!	87f0f98793a908c859d5.m4a
The moon is not a fruit!	3c8698d340d6e1452645.m4a
The star is not a fruit!	5f6c7fa8076efe74c58a.m4a
The cloud is not a fruit!	5d9c469b719183328259.m4a
The rainbow is not a fruit!	39331092b9916f6235ca.m4a
The fish is not a fruit!	1ba685243f7d011a2d58.m4a
The dolphin is not a fruit!	6d0edc079b05a3b25cb9.m4a
The octopus is not a fruit!	9675d8984e94c7957809.m4a
The crab is not a fruit!	ad339d813194d99e52f8.m4a
The whale is not a fruit!	4c020a723b87d96f2f10.m4a
The seashell is not a fruit!	226fd99085f392ec359a.m4a
The ice cream is not a fruit!	dc97b6e18637ed36d7d9.m4a
The cupcake is not a fruit!	f36456a04ee7bddcc742.m4a
The cake is not a fruit!	ee0578954e8cd048fa10.m4a
The lollipop is not a fruit!	cbad397cd4ee37e2c5e3.m4a
The donut is not a fruit!	e45228f9aa75b74d020c.m4a
The cookie is not a fruit!	43769311a95e6959e518.m4a
The broccoli is not a fruit!	746845bac7bcd8398153.m4a
The carrot is not a fruit!	eb20e8ff82ca43b19146.m4a
The corn is not a fruit!	b172e21de0b5ea8547ba.m4a
The tomato is not a fruit!	e2c472fc889b68929908.m4a
The cucumber is not a fruit!	727f82a5edbee194b974.m4a
The sneaker is not a fruit!	d8fc384136d5393a27c7.m4a
The cap is not a fruit!	b6fef3193741ac4e3b40.m4a
The glove is not a fruit!	afcb348c164a5adeec3c.m4a
The sock is not a fruit!	b61edcb0dd54789d1a6f.m4a
The dress is not a fruit!	64c311d6883b57c90252.m4a
The coat is not a fruit!	ce825310896d27f2fa9f.m4a
The piano is not a fruit!	a83b22f41850970a115f.m4a
The guitar is not a fruit!	0a7bb8d39e09c31874e8.m4a
The trumpet is not a fruit!	43213beab0c5a376f9a8.m4a
The drum is not a fruit!	8717416a114be82c95e6.m4a
The violin is not a fruit!	127aae48cb6b660ba008.m4a
The bee is not a fruit!	4118afbddf557bc1c7b3.m4a
The ladybug is not a fruit!	9e17aad99ee6f6f09d64.m4a
The butterfly is not a fruit!	9b32c9cdfbefae98f35c.m4a
The caterpillar is not a fruit!	8756e86297ad4148e78f.m4a
The ant is not a fruit!	762136ce7b66991a230e.m4a
The soccer ball is not a fruit!	d8f86ac1d4a30f06c840.m4a
The basketball is not a fruit!	6b476b539068b05fb5bc.m4a
The tennis ball is not a fruit!	016765c3c5a6c6f248a9.m4a
The baseball is not a fruit!	078cd992243bdef64736.m4a
The pizza is not a fruit!	6ead8f09bc9a8945c367.m4a
The burger is not a fruit!	212e23f9789c3eeaaacf.m4a
The taco is not a fruit!	ee512efe9a1d1aab9ab6.m4a
The sandwich is not a fruit!	606b76d16e56f22b240b.m4a
The spaghetti is not a fruit!	d032c1688481ab7cbeb5.m4a
The apple is not a animal!	535c262c0c652b8a32e5.m4a
The orange is not a animal!	662f2c31de7b8bc356b2.m4a
The lemon is not a animal!	e27fb1486e772c37c873.m4a
The strawberry is not a animal!	e554aa11138fd1ae2539.m4a
The grapes is not a animal!	659db6bd45ecf60f3f5c.m4a
The banana is not a animal!	d5029f769ba0e5ab7ea5.m4a
The watermelon is not a animal!	400a2e77dbe1413d1006.m4a
The peach is not a animal!	c064cb66339bdaad025f.m4a
The car is not a animal!	e202767715f8139bc5dc.m4a
The bus is not a animal!	c0149ac3d51ea6d3a6f5.m4a
The train is not a animal!	5ef2dd2ae185906357c3.m4a
The plane is not a animal!	e7a95486e22946f48527.m4a
The helicopter is not a animal!	1bdad7ddebfd2a7011b4.m4a
The tractor is not a animal!	9574c899a22c52652a4c.m4a
The scooter is not a animal!	230be7cf9cb1625f783d.m4a
The blossom is not a animal!	0b569c19dbd217f4ade6.m4a
The sunflower is not a animal!	8a38ba1d21172b2d9134.m4a
The hibiscus is not a animal!	625a11bc4f1ba1b991d0.m4a
The tulip is not a animal!	06e20b3478f8e705cf3c.m4a
The rose is not a animal!	a628e5caf2419eb07370.m4a
The sun is not a animal!	19a57cf6d7ca100b2c3b.m4a
The moon is not a animal!	0bab865a36c3857cc562.m4a
The star is not a animal!	775d22a92f0ce2446a79.m4a
The cloud is not a animal!	e5bf553d7d3c0259edb6.m4a
The rainbow is not a animal!	b49c6431c284b76010c6.m4a
The fish is not a animal!	2b53d842a894d188d07e.m4a
The dolphin is not a animal!	4a8cf781da5d4f216e51.m4a
The octopus is not a animal!	531f2c4b032bad53327c.m4a
The crab is not a animal!	65d18822e895c6e10477.m4a
The whale is not a animal!	1d35a221107a3d8e0289.m4a
The seashell is not a animal!	c601bd6e0dc5e6225acd.m4a
The ice cream is not a animal!	302e8538c4f9e671c536.m4a
The cupcake is not a animal!	b65cd2d67f4b8f97d4a5.m4a
The cake is not a animal!	cca02e7f5721ac6e5953.m4a
The lollipop is not a animal!	c8363b1573b2be6ab7fe.m4a
The donut is not a animal!	28d54c30ca5dcee0e118.m4a
The cookie is not a animal!	3959d60d42cb89e7e0a5.m4a
The broccoli is not a animal!	49cf28ef5dfae6de01fd.m4a
The carrot is not a animal!	2bc0f2900b2f6c0ae3a5.m4a
The corn is not a animal!	b0d3b133cf466b7d4f49.m4a
The tomato is not a animal!	692d3d2e8957c00e98d8.m4a
The cucumber is not a animal!	f2823bc6c87a6042c7b5.m4a
The sneaker is not a animal!	a840715248ed47fb7d79.m4a
The cap is not a animal!	e715faf7ecc91e3d6290.m4a
The glove is not a animal!	b0c7c5c8b6848c01db1d.m4a
The sock is not a animal!	2da3d65306e3c2dfdf1f.m4a
The dress is not a animal!	23ad7c2992aa51e9570a.m4a
The coat is not a animal!	a2a09eb84d8c57964df1.m4a
The piano is not a animal!	048f1be7fdda8b9e80d3.m4a
The guitar is not a animal!	5b5ee96998a92626c29d.m4a
The trumpet is not a animal!	302207e0b3ece24827f6.m4a
The drum is not a animal!	de202c9ab79dbf519c07.m4a
The violin is not a animal!	78e83edf234d8bd4b0ed.m4a
The bee is not a animal!	836ce85d82346e9d28dc.m4a
The ladybug is not a animal!	8a9d4bde3e57eb19204c.m4a
The butterfly is not a animal!	ce682e6e4d2d26f50e23.m4a
The caterpillar is not a animal!	1790a62db5c615353ad7.m4a
The ant is not a animal!	87bf6006267b8cf849f0.m4a
The soccer ball is not a animal!	e84a5c8a955a2788d150.m4a
The basketball is not a animal!	b3fa6cc053099b433086.m4a
The tennis ball is not a animal!	d08b470d68fd9283af5f.m4a
The baseball is not a animal!	18bbc212aeb6b2989b3e.m4a
The pizza is not a animal!	c00928633644cba5870c.m4a
